regime,seed,method,n_rows_common,auroc,auprc,prec_at_k,shd,n_true_edges,n_rows_scored
linear_gaussian,2029,SHAP-on-MissForest,11,0.7918552036199096,0.5855108447179047,0.5294117647058824,16,17,11
linear_gaussian,2029,Permutation-on-MissForest,11,0.8054298642533936,0.6700380360719875,0.5882352941176471,14,17,11
linear_gaussian,2029,P-alone,11,0.7601809954751131,0.44062874275811015,0.47058823529411764,18,17,11
linear_gaussian,2029,SNI-D-fairhost,11,0.7160633484162896,0.42685613802527334,0.47058823529411764,18,17,11
linear_gaussian,2029,Permutation-on-SNI-fair-oracle,11,0.8891402714932126,0.6312418017241495,0.5294117647058824,16,17,11
linear_gaussian,2029,Permutation-on-SNI-fair-noOracle,11,0.8817873303167421,0.6000469185747075,0.47058823529411764,18,17,11
nonlinear_mixed,2025,SNI-D,11,0.6987421383647798,0.2685348188892709,0.4,18,15,11
nonlinear_mixed,2025,MissForest-importance,11,0.8232704402515723,0.5249213307600403,0.4666666666666667,16,15,11
nonlinear_mixed,2025,SHAP-on-MissForest,11,0.8503144654088051,0.5678970564482345,0.4666666666666667,16,15,11
nonlinear_mixed,2025,Permutation-on-MissForest,11,0.8679245283018868,0.5942273181747597,0.6,12,15,11
nonlinear_mixed,2025,P-alone,11,0.7232704402515723,0.34844513287170265,0.5333333333333333,14,15,11
nonlinear_mixed,2025,SNI-D-fairhost,11,0.6987421383647798,0.2685348188892709,0.4,18,15,11
nonlinear_mixed,2025,Permutation-on-SNI-fair-oracle,11,0.8754716981132076,0.6428660178660178,0.6,12,15,11
nonlinear_mixed,2025,Permutation-on-SNI-fair-noOracle,11,0.871069182389937,0.5844860030068741,0.6,12,15,11
nonlinear_mixed,2026,SNI-D,11,0.8822629969418959,0.6276700014114202,0.5,12,12,11
nonlinear_mixed,2026,MissForest-importance,11,0.9579510703363914,0.6510686073186073,0.5833333333333334,10,12,11
nonlinear_mixed,2026,SHAP-on-MissForest,11,0.9678899082568808,0.6841510341510342,0.75,6,12,11
nonlinear_mixed,2026,Permutation-on-MissForest,11,0.9709480122324159,0.7226167623226446,0.6666666666666666,8,12,11
nonlinear_mixed,2026,P-alone,11,0.9143730886850152,0.4978992622826472,0.5,12,12,11
nonlinear_mixed,2026,SNI-D-fairhost,11,0.8822629969418959,0.6276700014114202,0.5,12,12,11
nonlinear_mixed,2026,Permutation-on-SNI-fair-oracle,11,0.9258409785932721,0.804087456660986,0.6666666666666666,8,12,11
nonlinear_mixed,2026,Permutation-on-SNI-fair-noOracle,11,0.9457186544342507,0.7665277880157911,0.6666666666666666,8,12,11
nonlinear_mixed,2027,SNI-D,11,0.7915376676986583,0.43528440524753453,0.47368421052631576,20,19,11
nonlinear_mixed,2027,MissForest-importance,11,0.8457172342621259,0.5223071876278422,0.5789473684210527,16,19,11
nonlinear_mixed,2027,SHAP-on-MissForest,11,0.8880288957688338,0.56323015754448,0.631578947368421,14,19,11
nonlinear_mixed,2027,Permutation-on-MissForest,11,0.9122807017543859,0.6566922072573822,0.631578947368421,14,19,11
nonlinear_mixed,2027,P-alone,11,0.7910216718266253,0.44721592652051384,0.47368421052631576,20,19,11
nonlinear_mixed,2027,SNI-D-fairhost,11,0.7915376676986583,0.43528440524753453,0.47368421052631576,20,19,11
nonlinear_mixed,2027,Permutation-on-SNI-fair-oracle,11,0.8808049535603715,0.5739134630991849,0.631578947368421,14,19,11
nonlinear_mixed,2027,Permutation-on-SNI-fair-noOracle,11,0.8710010319917441,0.5537476521937542,0.631578947368421,14,19,11
nonlinear_mixed,2028,SNI-D,11,0.7296181630546955,0.46729507314361024,0.5263157894736842,18,19,11
nonlinear_mixed,2028,MissForest-importance,11,0.8415892672858617,0.5593167364658842,0.631578947368421,14,19,11
nonlinear_mixed,2028,SHAP-on-MissForest,11,0.8281733746130031,0.5285151274983311,0.47368421052631576,20,19,11
nonlinear_mixed,2028,Permutation-on-MissForest,11,0.8524251805985552,0.6026534663317984,0.5789473684210527,16,19,11
nonlinear_mixed,2028,P-alone,11,0.6965944272445821,0.41577268695434194,0.47368421052631576,20,19,11
nonlinear_mixed,2028,SNI-D-fairhost,11,0.7296181630546955,0.46729507314361024,0.5263157894736842,18,19,11
nonlinear_mixed,2028,Permutation-on-SNI-fair-oracle,11,0.7765737874097007,0.5435076029592378,0.5789473684210527,16,19,11
